original_index,cluster_id,cluster_fraud_rate
0,0,0.0056
1,0,0.0056
2,0,0.0056
3,0,0.0056
4,0,0.0056
5,0,0.0056
6,0,0.0056
7,0,0.0056
8,0,0.0056
9,0,0.0056
10,0,0.0056
11,0,0.0056
12,0,0.0056
13,0,0.0056
14,0,0.0056
15,0,0.0056
16,0,0.0056
17,0,0.0056
18,0,0.0056
19,0,0.0056
20,0,0.0056
21,0,0.0056
22,0,0.0056
23,0,0.0056
24,0,0.0056
25,0,0.0056
26,0,0.0056
27,0,0.0056
28,0,0.0056
29,0,0.0056
30,0,0.0056
31,0,0.0056
32,0,0.0056
33,0,0.0056
34,0,0.0056
35,0,0.0056
36,0,0.0056
37,0,0.0056
38,0,0.0056
39,0,0.0056
40,0,0.0056
41,0,0.0056
42,0,0.0056
43,0,0.0056
44,0,0.0056
45,0,0.0056
46,0,0.0056
47,0,0.0056
48,0,0.0056
49,0,0.0056
50,0,0.0056
51,0,0.0056
52,0,0.0056
53,0,0.0056
54,0,0.0056
55,0,0.0056
56,0,0.0056
57,0,0.0056
58,0,0.0056
59,0,0.0056
60,0,0.0056
61,0,0.0056
62,0,0.0056
63,0,0.0056
64,0,0.0056
65,0,0.0056
66,0,0.0056
67,0,0.0056
68,0,0.0056
69,0,0.0056
70,0,0.0056
71,0,0.0056
72,0,0.0056
73,0,0.0056
74,0,0.0056
75,0,0.0056
76,0,0.0056
77,0,0.0056
78,0,0.0056
79,0,0.0056
81,0,0.0056
82,0,0.0056
83,0,0.0056
84,0,0.0056
85,0,0.0056
86,0,0.0056
87,0,0.0056
88,0,0.0056
89,0,0.0056
90,0,0.0056
91,0,0.0056
92,0,0.0056
93,0,0.0056
94,0,0.0056
95,0,0.0056
96,0,0.0056
97,0,0.0056
98,0,0.0056
99,0,0.0056
100,0,0.0056
101,0,0.0056
102,0,0.0056
103,0,0.0056
104,0,0.0056
105,0,0.0056
106,0,0.0056
107,0,0.0056
108,0,0.0056
109,0,0.0056
110,0,0.0056
111,0,0.0056
112,0,0.0056
113,0,0.0056
114,0,0.0056
115,0,0.0056
116,0,0.0056
117,0,0.0056
118,0,0.0056
119,0,0.0056
120,0,0.0056
121,0,0.0056
122,0,0.0056
123,0,0.0056
124,0,0.0056
125,0,0.0056
126,0,0.0056
127,0,0.0056
128,0,0.0056
129,0,0.0056
130,0,0.0056
131,0,0.0056
132,0,0.0056
133,0,0.0056
134,0,0.0056
135,0,0.0056
136,0,0.0056
137,0,0.0056
138,0,0.0056
139,0,0.0056
140,0,0.0056
141,0,0.0056
142,0,0.0056
143,0,0.0056
144,0,0.0056
145,0,0.0056
146,0,0.0056
147,0,0.0056
148,0,0.0056
149,0,0.0056
150,0,0.0056
151,0,0.0056
152,0,0.0056
153,0,0.0056
154,0,0.0056
155,0,0.0056
156,0,0.0056
157,0,0.0056
158,0,0.0056
159,0,0.0056
160,0,0.0056
161,0,0.0056
162,0,0.0056
163,0,0.0056
164,0,0.0056
165,0,0.0056
166,0,0.0056
167,0,0.0056
168,0,0.0056
169,0,0.0056
170,0,0.0056
171,0,0.0056
172,0,0.0056
173,0,0.0056
174,0,0.0056
175,0,0.0056
176,0,0.0056
177,0,0.0056
178,0,0.0056
179,0,0.0056
180,0,0.0056
181,0,0.0056
182,0,0.0056
183,0,0.0056
184,0,0.0056
185,0,0.0056
186,0,0.0056
187,0,0.0056
188,0,0.0056
189,0,0.0056
190,0,0.0056
191,0,0.0056
192,0,0.0056
193,0,0.0056
194,0,0.0056
195,0,0.0056
196,0,0.0056
197,0,0.0056
198,0,0.0056
199,0,0.0056
200,0,0.0056
201,0,0.0056
202,0,0.0056
203,0,0.0056
204,0,0.0056
205,0,0.0056
206,0,0.0056
207,0,0.0056
208,0,0.0056
209,0,0.0056
210,0,0.0056
211,0,0.0056
212,0,0.0056
213,0,0.0056
214,0,0.0056
215,0,0.0056
216,0,0.0056
217,0,0.0056
218,0,0.0056
219,0,0.0056
220,0,0.0056
221,0,0.0056
222,0,0.0056
223,0,0.0056
224,0,0.0056
225,0,0.0056
226,0,0.0056
227,0,0.0056
228,0,0.0056
229,0,0.0056
230,0,0.0056
231,0,0.0056
232,0,0.0056
233,0,0.0056
234,0,0.0056
235,0,0.0056
236,0,0.0056
237,0,0.0056
238,0,0.0056
239,0,0.0056
240,0,0.0056
241,0,0.0056
242,0,0.0056
243,0,0.0056
244,0,0.0056
245,0,0.0056
246,0,0.0056
247,0,0.0056
248,0,0.0056
249,0,0.0056
250,0,0.0056
251,0,0.0056
252,0,0.0056
253,0,0.0056
254,0,0.0056
255,0,0.0056
256,0,0.0056
257,0,0.0056
258,0,0.0056
259,0,0.0056
260,0,0.0056
261,0,0.0056
262,0,0.0056
263,0,0.0056
264,0,0.0056
265,0,0.0056
266,0,0.0056
267,0,0.0056
268,0,0.0056
269,0,0.0056
270,0,0.0056
271,0,0.0056
272,0,0.0056
273,0,0.0056
274,0,0.0056
275,0,0.0056
276,0,0.0056
277,0,0.0056
278,0,0.0056
279,0,0.0056
280,0,0.0056
281,0,0.0056
282,0,0.0056
283,0,0.0056
284,0,0.0056
285,0,0.0056
286,0,0.0056
287,0,0.0056
288,0,0.0056
289,0,0.0056
290,0,0.0056
291,0,0.0056
292,0,0.0056
293,0,0.0056
294,0,0.0056
295,0,0.0056
296,0,0.0056
297,0,0.0056
298,0,0.0056
299,0,0.0056
300,0,0.0056
301,0,0.0056
302,0,0.0056
303,0,0.0056
304,0,0.0056
305,0,0.0056
306,0,0.0056
307,0,0.0056
308,0,0.0056
309,0,0.0056
310,0,0.0056
311,0,0.0056
312,0,0.0056
313,0,0.0056
314,0,0.0056
315,0,0.0056
316,0,0.0056
317,0,0.0056
318,0,0.0056
319,0,0.0056
320,0,0.0056
322,0,0.0056
323,0,0.0056
324,0,0.0056
325,0,0.0056
326,0,0.0056
327,0,0.0056
328,0,0.0056
329,0,0.0056
330,0,0.0056
331,0,0.0056
332,0,0.0056
333,0,0.0056
334,0,0.0056
335,0,0.0056
336,0,0.0056
337,0,0.0056
338,0,0.0056
339,0,0.0056
340,0,0.0056
341,0,0.0056
342,0,0.0056
343,0,0.0056
344,0,0.0056
345,0,0.0056
346,0,0.0056
347,0,0.0056
348,0,0.0056
349,0,0.0056
351,0,0.0056
352,0,0.0056
353,0,0.0056
354,0,0.0056
355,0,0.0056
356,0,0.0056
357,0,0.0056
358,0,0.0056
359,0,0.0056
360,0,0.0056
362,0,0.0056
363,0,0.0056
364,0,0.0056
365,0,0.0056
366,0,0.0056
367,0,0.0056
368,0,0.0056
369,0,0.0056
370,0,0.0056
371,0,0.0056
372,0,0.0056
373,0,0.0056
374,0,0.0056
375,0,0.0056
376,0,0.0056
377,0,0.0056
378,0,0.0056
379,0,0.0056
380,0,0.0056
381,0,0.0056
382,0,0.0056
383,0,0.0056
384,0,0.0056
385,0,0.0056
386,0,0.0056
387,0,0.0056
388,0,0.0056
389,0,0.0056
390,0,0.0056
391,0,0.0056
392,0,0.0056
393,0,0.0056
394,0,0.0056
395,0,0.0056
396,0,0.0056
397,0,0.0056
398,0,0.0056
399,0,0.0056
400,0,0.0056
401,0,0.0056
402,0,0.0056
403,0,0.0056
404,0,0.0056
405,0,0.0056
406,0,0.0056
407,0,0.0056
408,0,0.0056
409,0,0.0056
410,0,0.0056
411,0,0.0056
412,0,0.0056
413,0,0.0056
414,0,0.0056
415,0,0.0056
416,0,0.0056
417,0,0.0056
418,0,0.0056
419,0,0.0056
420,0,0.0056
421,0,0.0056
422,0,0.0056
423,0,0.0056
424,0,0.0056
425,0,0.0056
426,0,0.0056
427,0,0.0056
428,0,0.0056
429,0,0.0056
430,0,0.0056
431,0,0.0056
432,0,0.0056
433,0,0.0056
434,0,0.0056
435,0,0.0056
436,0,0.0056
437,0,0.0056
438,0,0.0056
439,0,0.0056
440,0,0.0056
441,0,0.0056
442,0,0.0056
443,0,0.0056
444,0,0.0056
445,0,0.0056
446,0,0.0056
447,0,0.0056
448,0,0.0056
449,0,0.0056
450,0,0.0056
451,0,0.0056
