transaction_idx,cluster_id,min_distance_to_fraud,cluster_fraud_rate
0,0,0.6121681459483869,0.0056
1,0,0.6031400985649646,0.0056
2,0,4.004168960738641,0.0056
3,0,0.6094809631948869,0.0056
4,0,0.6024939693979336,0.0056
5,0,0.6478424491436887,0.0056
6,0,0.6505951070760974,0.0056
7,0,0.6761768863195495,0.0056
8,0,5.650392001347157,0.0056
9,0,5.649957713538554,0.0056
10,0,0.32855456156804597,0.0056
11,0,0.6108431215477573,0.0056
12,0,1.8493187750631874,0.0056
13,0,0.5767422306262775,0.0056
14,0,3.2370011875714324,0.0056
15,0,0.6403115969068348,0.0056
16,0,0.6308913710075741,0.0056
17,0,0.6328809732975378,0.0056
18,0,0.8913220510345924,0.0056
19,0,0.6365386764545387,0.0056
20,0,0.6025048209325897,0.0056
21,0,0.6025285954469338,0.0056
22,0,1.6245508696628272,0.0056
23,0,2.4301403607730285,0.0056
24,0,0.5302951678721597,0.0056
25,0,5.64858086903084,0.0056
26,0,0.2861988897656386,0.0056
27,0,0.6792376128714307,0.0056
28,0,0.6366997822606887,0.0056
29,0,1.3960561327932692,0.0056
30,0,1.3156612281042566,0.0056
31,0,0.6418483308251876,0.0056
32,0,0.657279087681392,0.0056
33,0,4.560658662205439,0.0056
34,0,4.013178995940165,0.0056
35,0,0.668993789988899,0.0056
36,0,4.083561302423037,0.0056
37,0,1.8821857933538724,0.0056
38,0,0.6363095185190508,0.0056
39,0,0.673052839005754,0.0056
40,0,0.6666706543457807,0.0056
41,0,0.6468449224176294,0.0056
42,0,5.370594526868619,0.0056
43,0,0.37923054932413264,0.0056
44,0,5.649806092236378,0.0056
45,0,5.647393952804441,0.0056
46,0,5.36995792682929,0.0056
47,0,11.513734160289939,0.0056
48,0,0.6299122686093537,0.0056
49,0,0.48110338032189287,0.0056
50,0,0.6038879937642789,0.0056
51,0,0.5972139710571103,0.0056
52,0,0.6235999582194057,0.0056
53,0,1.39583318691257,0.0056
54,0,2.054478326878259,0.0056
55,0,4.367244812074038,0.0056
56,0,4.175642810702727,0.0056
57,0,0.6228458604406016,0.0056
58,0,2.918229243545968,0.0056
59,0,4.972415612100788,0.0056
