data_date,trans_id,trans_initiate_time,customer_msisdn,trx_channel,trx_type,trx_status,ac_from,ac_to,start_balance,trx_amt,end_balance,utility_company,bill_ref_number,fee,fed,reason_type,pur_of_remit,ec,merchant_id
2025-02-05,74631762418,2025-02-05T01:03:14.000+05:00,/QRlt6LP/rXls1Tn2L9dSA==,NEW_JC_APP,IBFT Outgoing Customer,Completed,19j5y5Gt4tj+zTq0zqwpmw==,/QRlt6LP/rXls1Tn2L9dSA==,2454.550000000000000000,1300.000000000000000000,1153.550000000000000000,AlHabib,,0.860000000000000000,0.140000000000000000,IBFT Outgoing by Mobilink Customer 1-Link via New JC APP,0101-Vendor Payments - Software,,
2025-02-05,74631775999,2025-02-05T01:04:11.000+05:00,fPgIKI/bJEDGPQ8eOtPT9A==,Payment Gateway,Online Payment,Completed,19j5y5Gt4tj+zTq0zqwpmw==,fPgIKI/bJEDGPQ8eOtPT9A==,1153.550000000000000000,500.000000000000000000,653.550000000000000000,,,5.800000000000000000,0.800000000000000000,Online Payments for Jazz Mobile Account via PGW,,,
2025-02-05,74632097128,2025-02-05T01:21:07.000+05:00,fPgIKI/bJEDGPQ8eOtPT9A==,Payment Gateway,Online Payment,Completed,19j5y5Gt4tj+zTq0zqwpmw==,fPgIKI/bJEDGPQ8eOtPT9A==,653.550000000000000000,200.000000000000000000,453.550000000000000000,,,2.320000000000000000,0.320000000000000000,Online Payments for Jazz Mobile Account via PGW,,,
2025-02-05,74632533239,2025-02-05T01:46:20.000+05:00,fPgIKI/bJEDGPQ8eOtPT9A==,Payment Gateway,Online Payment,Completed,19j5y5Gt4tj+zTq0zqwpmw==,fPgIKI/bJEDGPQ8eOtPT9A==,453.550000000000000000,200.000000000000000000,253.550000000000000000,,,2.320000000000000000,0.320000000000000000,Online Payments for Jazz Mobile Account via PGW,,,
2025-02-18,75440716822,2025-02-18T10:44:37.000+05:00,1G1fjuN0NxGlWZoxt5f6bQ==,NEW_JC_APP,Transfer(C2B),Completed,19j5y5Gt4tj+zTq0zqwpmw==,k0z2vbdN17Cks6sY6GGshA==,1535.780000000000000000,1500.000000000000000000,35.780000000000000000,,,0E-18,0E-18,IBFT Outgoing by Mobilink Customer RAAST via API,,,
2025-02-03,74513730937,2025-02-03T10:57:00.000+05:00,fPgIKI/bJEDGPQ8eOtPT9A==,Payment Gateway,Online Payment,Completed,19j5y5Gt4tj+zTq0zqwpmw==,fPgIKI/bJEDGPQ8eOtPT9A==,6132.070000000000000000,3000.000000000000000000,3132.070000000000000000,,,34.800000000000000000,4.800000000000000000,Online Payments for Jazz Mobile Account via PGW,,,
2025-02-08,74827062517,2025-02-08T11:09:15.000+05:00,fPgIKI/bJEDGPQ8eOtPT9A==,Payment Gateway,Online Payment,Completed,19j5y5Gt4tj+zTq0zqwpmw==,fPgIKI/bJEDGPQ8eOtPT9A==,199.550000000000000000,100.000000000000000000,99.550000000000000000,,,1.160000000000000000,0.160000000000000000,Online Payments for Jazz Mobile Account via PGW,,,
2025-02-04,74583062015,2025-02-04T11:46:56.000+05:00,m1TCdo5rjvth/tPOPL9kwA==,Payment Gateway,Online Payment,Completed,19j5y5Gt4tj+zTq0zqwpmw==,m1TCdo5rjvth/tPOPL9kwA==,5800.070000000000000000,3325.520000000000000000,2474.550000000000000000,,,77.150000000000000000,10.640000000000000000,Online Payments for Jazz Mobile Account via PGW,,,
2025-02-04,74583707245,2025-02-04T11:56:25.000+05:00,m1TCdo5rjvth/tPOPL9kwA==,Payment Gateway,Online Payment,Completed,19j5y5Gt4tj+zTq0zqwpmw==,m1TCdo5rjvth/tPOPL9kwA==,2474.550000000000000000,500.000000000000000000,1974.550000000000000000,,,11.600000000000000000,1.600000000000000000,Online Payments for Jazz Mobile Account via PGW,,,
2025-02-05,74648200127,2025-02-05T12:18:08.000+05:00,1G1fjuN0NxGlWZoxt5f6bQ==,NEW_JC_APP,Transfer(C2B),Completed,19j5y5Gt4tj+zTq0zqwpmw==,k0z2vbdN17Cks6sY6GGshA==,253.550000000000000000,53.000000000000000000,200.550000000000000000,,,0E-18,0E-18,IBFT Outgoing by Mobilink Customer RAAST via API,,,
